Auth. Code,Tax Type,Start Date,End Date,Coterm. Valid,Reg. Valid,Supp. Valid,Vac. Valid,Cum. Valid,Daily Factor,Additional Tax,Tax Disposition,Mandatory,PSR Proc. Flag,EIC Cert
100000,511,20030101,0,0,1,2,2,2,0,1,0,1,0,0
100000,512,20030101,0,0,1,2,2,2,0,1,0,1,0,0
100000,513,20030101,0,0,1,2,2,2,0,1,0,1,0,0
100000,514,20030101,0,0,1,2,2,2,0,1,0,1,0,0
100000,515,20090724,0,0,1,2,2,2,0,1,0,1,1,0
100000,516,20030101,0,0,1,2,2,2,0,1,0,1,1,0
100000,517,20100101,0,0,1,2,2,2,0,1,0,1,0,0
100000,528,20130101,0,0,1,2,2,2,0,1,0,1,1,0
100000,600,20060102,0,0,1,2,2,2,0,1,0,1,0,0
100502,1,19830701,0,0,1,0,1,0,0,0,0,1,1,0
110000,1,20180101,0,0,1,1,1,1,0,0,0,1,1,0
110000,10,20130101,0,0,1,2,2,2,0,1,1,1,1,0
110000,15,20130101,0,0,1,2,2,2,0,1,1,1,1,0
110000,70,20180101,0,0,1,1,1,0,0,0,0,0,1,0
110000,71,20120101,0,0,1,1,0,0,0,0,0,0,1,0
110000,72,20120101,0,0,1,1,0,0,0,0,0,0,1,0
110000,98,20190401,0,9,1,2,2,2,0,1,1,1,0,0
110000,502,20030101,0,0,1,2,2,2,0,1,0,1,0,0
110000,504,20030101,0,0,1,2,2,2,0,1,0,1,0,0
110000,507,20190702,0,0,1,2,2,2,0,1,0,1,0,0
110000,510,20030101,0,0,1,2,2,2,0,1,0,1,0,0
110000,511,20030101,0,0,1,2,2,2,0,1,0,1,0,0
110000,512,20030101,0,0,1,2,2,2,0,1,0,1,0,0
110000,513,20030101,0,0,1,2,2,2,0,1,0,1,0,0
110000,514,20030101,0,0,1,2,2,2,0,1,0,1,0,0
110000,516,20030101,0,0,1,2,2,2,0,1,0,1,1,0
110000,517,20100101,0,0,1,2,2,2,0,1,0,1,1,0
110000,519,20060101,0,0,1,2,2,2,0,1,0,1,0,0
110000,521,20030101,0,0,1,2,2,2,0,1,0,1,1,0
110000,528,20130101,0,0,1,2,2,2,0,1,0,1,1,0
110000,600,20060102,0,0,1,2,2,2,0,1,0,1,0,0
120000,10,20150101,0,1,1,2,2,2,0,1,1,1,0,0
120000,61,20130101,0,9,1,2,2,2,0,0,1,1,2,0
120000,62,20130101,0,9,1,2,2,2,0,0,1,1,2,0
120000,63,20130101,0,9,1,2,2,2,0,0,1,1,2,0
120000,64,20130101,0,9,1,2,2,2,0,0,1,1,2,0
120000,502,20030101,0,0,1,2,2,2,0,1,0,1,0,0
120000,507,20100102,0,0,1,2,2,2,0,1,0,1,0,0
120000,508,20030101,0,0,1,2,2,2,0,1,0,1,1,0
120000,510,20030101,0,0,1,2,2,2,0,1,0,1,0,0
120000,511,20030101,0,0,1,2,2,2,0,1,0,1,0,0
120000,512,20030101,0,0,1,2,2,2,0,1,0,1,0,0
